place_id,author_name,rating,text,city
ChIJZ72FzplZwokRmcA7CQzDMj0,Raynor Blom,2,"Review from a Feb 2023 visit. Massive variance between the price point and our experience for the evening. I've heard amazing things about this restaurant over the years but it would appear the changing of the guard after the pandemic has caused a noticeably dip in quality.

The service was objectively great, very attentive to detail and friendly/informed, no issues with adjusting meals for the vegetarian in our group. The interior felt and looked cramped in certain areas as the evening got busier. And lastly for the first half of our visit there was staff and maintenance working on fixing the AC, we were very cold while waiting for our first dishes and greeted with occasional burning/dirty smells while they were working on a fix.

The meal itself was good, nothing revelatory in terms of new flavors or ideas, just quality ingredients made well. For a few specific weak points - the truffle pasta special was just not worth anywhere close to the price, and the root veg on the roast special were under seasoned. Chocolate tart for dessert was excellent.",New York
ChIJZ72FzplZwokRmcA7CQzDMj0,Tisha Mathlin,5,"Outstanding experience! I give them my outmost recommendation.
First, we had a special occasion to celebrate and we highlighted this in our reservation.
The receptionist carefully reviewed the reservation notes and seated us accordingly. Joseph was a gem and set the tone for the evening.
This definitely elevated the experience from the first moment.
The service delivered by the waiters were perfect. I mean it perfect!
The food was delicious and the drinks was refreshing.
To conclude, would definitely love to come again And I definitely recommend it.",New York
ChIJZ72FzplZwokRmcA7CQzDMj0,Olivia Leigh,4,"Great atmosphere. An upscale new American restaurant with fresh ingredients. We had the duck which is really good and fresh and a large portion and then we had the steak which did come out undercooked quite a bit and then honestly I didn’t love that they just threw it back on the grill and it came out all different sorts of cooked throughout. The french fries were very expensive and very cold, so that was a bummer if I had noticed before I probably would’ve sent them back. Good meal I’d probably come back, but the prices are high for what you’re getting.",New York
ChIJZ72FzplZwokRmcA7CQzDMj0,Craig Smith Insurance- Specializing in Medicare,5,"My wife and I celebrated our 22 year anniversary at Gotham. We have been here several times. The entire staff is friendly and welcoming. The food and drinks are on point. If you are looking to celebrate a special event or just want exceptional food, drinks and service then Gotham is the place.",New York
ChIJZ72FzplZwokRmcA7CQzDMj0,Lars G,4,Enjoyed the setting and the extremely attentive and friendly staff. Professional Service at its best. We had the Tuna Tartar and then a varirty of mains. Food was good - but the Lobster stuck out - delicous ! Some nice wines on the menu - a bit too pricy calculated I think !,New York
ChIJyw5j84lZwokRnUI_UknPSNA,E Benjamin,5,"On our anniversary, we decided to celebrate at the restaurant of our choice. As soon as we arrived, the staff warmly greeted us, ensuring that our special day would be nothing short of exceptional. The portion sizes may have been modest, but the quality of the food surpassed our expectations, leaving us completely satisfied. Not only was the cuisine delicious, but the ambiance of the restaurant was truly enchanting, boasting a beautiful setting that captivated our senses. The staff's meticulous attention to detail further enhanced our experience, making us feel like cherished guests throughout the evening. Without a doubt, our time spent at the restaurant was absolutely delightful.",New York
ChIJyw5j84lZwokRnUI_UknPSNA,Albert Law,5,I really enjoy the food and drink from Le Coucou.  They have the best young chicken I ever had in my life.  The lobster salad is great.  The wine is also a good choice.  Thank you for giving me a wonderful time for my birthday,New York
ChIJyw5j84lZwokRnUI_UknPSNA,Patrick Hewson,5,Everything was fantastic. The tuna starter and the beef main course were particular standouts and will live long in the memory. The wine recommended paired perfectly with the food we chose. Simply put one of the best meals I've eaten this year,New York
ChIJyw5j84lZwokRnUI_UknPSNA,Vincent Li,1,"I didn’t have high expectations upon arrival and basically ordered what the waiter recommended. By the way, one of the waiters who served us was lukewarm and almost rude. He made his recommendations in a tone that felt more like educating, often using imperative verbs like ‘remember’ to start his sentences, which isn’t the level of service I expected in this kind of environment.

The food was still disappointing. The starters were overwhelmingly sour, with no other flavors to balance them out. The second courses were just average, which matched my expectations. I did like the maitake mushroom that came with the veal sweetbread.

For the main course, we ordered the duck for two. It came with the duck’s breast, leg, liver, and heart, accompanied by fig and mushroom, all covered in reduced duck juice. In a nutshell, it was awful. The juice was very meaty and poorly seasoned, so all you could taste was the meatiness from the duck and the tannin and astringency from the red wine. Also, the breast was dry and meaty. To my surprise, for some part of the duck breast, I couldn’t chew it and had to spit it out.  The foie gras was not too bad but its quality was impaired when covered by that meaty duck juice. We couldn’t have that so took it back home. The heart was also too dry and stiff. Then we found if you flip the duck leg over and look at the other side, it was disturbingly unplucked. Ugh.

I only came to realize this restaurant was Michelin-rated when I wanted to leave a review here because my partner had booked it for a casual dinner. This realization made me more disappointed with the quality and experience.

I do not recommend it. Try Aska or meadowsweet if you are into real good food and service.",New York
ChIJyw5j84lZwokRnUI_UknPSNA,Wei Lin,1,"I recently dined at this Michelin one-star restaurant, and I must say, it left me underwhelmed. I can only give it one star here on Google also ⭐️ because the overall experience was far from what I expected. The food lacked the excitement and creativity I associate with Michelin-starred establishments, resembling something you might find at a standard bistro in Paris. Additionally, the service, while not terrible, was just average. I would recommend exploring other dining options to make the most of your time and money.",New York
ChIJhSLc_R5awokReYEI4dyODxA,James L,5,"Came here for dinner. I like the decorations and lighting. I ordered the Hiramasa tartare, and the famous chicken under a brick (in half size, for myself). I like the flavor for both dishes and my taste bud was activated joyfully. Will come back for more dishes.",New York
ChIJhSLc_R5awokReYEI4dyODxA,Andreas Apostolopoulos,5,"Romantic, cozy, and dimly lit Michelin starred restaurant in Tribeca that fires on all cylinders! From the ambiance to the suave service, from the starters to the dessert, everything was top notch! With a small seasonal menu, the chef doesn't fail to disappoint on any item. The ravioli were tasting many quality, savoring every bite. The duck with cherry sauce was among the best duck dishes we've had, and the chicken under a brick was 120% something to write home about. Absolutely elegant in its simplicity! I love to cook at home and it got me thinking how I could recreate something this amazing with beautiful ingredients! The ""egg"" dessert is a surprise, but it's like something out of a Netflix cooking show, spectacle and flavor in every bite!! Don't hesitate to splurge on an evening here!!",New York
ChIJhSLc_R5awokReYEI4dyODxA,Alycia Sofia,5,"Had a great experience here. The chicken under a brick was phenomenal. Definitely a sharing plate between 2-3 people, perhaps even 4 if you're light eaters. We started with the bread and butter. It was great. Loved the onion butter. The chicken under a brick was exceptionally excellent. Highly recommend. And we finished it off with the cookie and melted ice cream desert. It was the perfect amount of sweetness. Also best if shared between 2-4 people.",New York
ChIJhSLc_R5awokReYEI4dyODxA,Kevin Hirchert,5,"One of the best meals I've ever had in my life, absolutely incredible staff.  The GM Andrea was an absolute delight and a pleasure to visit with.  Our server Robert was incredibly outgoing, knowledgeable helpful, and hilarious.  The chef, Connor and his sous chef Xavier gave me one of the best culinary experiences of my life and were a pleasure to chat with as well.  I would highly recommend this to anyone in my life and will definitely be back.",New York
ChIJhSLc_R5awokReYEI4dyODxA,Amir Shevat,5,"Wonderful food, good service. The place had a good vibe despite a few loud banking bros. The starters were phenomenal. Must try the Hiramasa.",New York
ChIJWVD7FadZwokRs_pS6XY7VOU,Olivia Leigh,3,Nice restaurant overall. Prices are wayyy too high. The steak we had from the steak and eggs for brunch was minuscule but was good (very tough). Burrata was good only 2 pieces of bread for $22. Pizza was actually a generous size and pretty good more of a California style with a large crust. Also side is $4.50 no refills (I know that’s typical for this area but would be nice to see on the menu). Overall fine experience l.,New York
ChIJWVD7FadZwokRs_pS6XY7VOU,Jacob Berezin,5,"Really nice spot with thoughtful ambiance.
Staff were very nice and helpful.
Drinks were tasty and food was prompt.
My favorite dish was the melt in mouth short rib.
Everything tasted fresh and filling
We went with a few friends would definitely go again.",New York
ChIJWVD7FadZwokRs_pS6XY7VOU,Kunal Puranik,4,"We had a really good experience dining here. We made reservations so didn’t have to wait, the place was packed on a Friday night. The staff is very friendly, and the service was quick. The food was really good, the bread they serve is outstanding, for mains we tried the cauliflower, and pizzas and liked everything. The dessert however was just okay, it wasn’t bad but didn’t deliver to the high standards the food had set. We’ll definitely be back",New York
ChIJWVD7FadZwokRs_pS6XY7VOU,michael shanker,2,"Nice place,Great Service. Food ok but over priced. Duck wings crispy but dry and little meat .  Short Ribs were very good rub/ flavor but way to much for 2 people. 4 people this could serve. Celery ribbons should have been peeled .Strange combination of celery ribbons green olives and walnuts Components as a topping",New York
ChIJWVD7FadZwokRs_pS6XY7VOU,Maansi Gupta,3,"The service and atmosphere were both incredible! The waiters were very sweet and attentive. Unfortunately, the food didn’t impress. It felt like the food was trying too much but missed the mark, resulting in a dining experience that was neither wholly satisfying nor novel. I felt full after finishing my meal, but it didn’t wow me. It wasn’t a meal worth remembering.

Green Zebra Pizza: Okay
Salmon: Overcooked
Artichokes: Good
Banana Cream Pie: Good

The “Good” dishes in this meal was the side and the dessert. Again, the service was wonderful, and this with the ambience made the dinner quite pleasant overall. But, given how many options there are in NYC, I wouldn’t come here again.",New York
ChIJf3f-f4VZwokRcBCEciTOGRQ,Lisa Paradise,5,"Food was very good, service was better
We had the most lovely waiter who made sure to give us honest suggestions on our order so that we had a great variety.
The food was all fantastic - our main note was that all the protein was plated under a cream or sauce or toppings, and each plate we said “wait what’s this one again” 😂 wish we could have seen our food.
Cocktails were 10/10, I think we tried everyone on the menu, no matter what elixir we chose, the drink was A1.
So glad I got to come back to this icon after years; it hasn’t missed a step.",New York
ChIJf3f-f4VZwokRcBCEciTOGRQ,Juan J. Moreno,4,"After tasting several dishes, all of them surprised me. They were not of my personal preference, but clearly were well designed and executed.  The wine list is impressive. Great service.

The restaurant is small and gets crowded, reservation is not mandatory but highly recommended.

Prices are expensive, as in any other high quality restaurant (and this one has a Michelin ⭐).",New York
ChIJf3f-f4VZwokRcBCEciTOGRQ,James,5,"Absolutely incredible meal. Don’t hesitate to make a reservation. Every single dish was delicious and showcased the high-quality ingredients without strong sauces or complicated flavors.

The ambiance itself is lacking. While the space is beautiful, seating is crowded, even for NYC standards. The restaurant gets busy, so expect to be shoulder-to-shoulder with other diners.

That said, the food more than makes up for it, and I do highly recommend priotizing this restaurant over the many other options in the city.",New York
ChIJf3f-f4VZwokRcBCEciTOGRQ,Eias Murad,4,"Stumbled on Estele while browsing 2022 World’s best 100 restaurants and the Michelin guide. Definitely worth it and didn’t disappoint. Vibe is casual, relaxed and hip with a small bistro feeling. Place is small and buzzing. Cuisine is new American with European influences I will say. I tried few dishes and there were all tasty and full of flavors. Highlight of the menu, Endive with walnuts and Fried arroz negro with squid and romesco. Cooking and execution was on point. You can hang out by the bar or grab a table with a date or group of friends. Good spot for lunch and dinner. Staff is friendly and knowledgeable. They have some good crafty cocktails.",New York
ChIJf3f-f4VZwokRcBCEciTOGRQ,Lucy,5,Just the best! Truly one of my top favorites in NYC. Never disappoints year after year. Perfectly curated menu where absolutely everything looks good. Hard to make a decision! Most recently came for my wedding anniversary. Special spot for things like that without feeling overly pretentious. We also had a fantastic waitress who was lovely and very helpful. Don’t skip the endive salad.,New York
ChIJ7cFMaqxZwokRiwwuIFN8pbA,Tom Hofer,5,"Amazing steaks and side dishes, the Brussels sprouts were a bit too spicy but the rest was amazing and exactly the way you would want. Great details with the Leona in a glass and very friendly service. At the entrance greeted friendly and recognized the country I am from which caught me by surprise. Great experience and have a glass of the Malbec",New York
ChIJ7cFMaqxZwokRiwwuIFN8pbA,Kalia Anderson,5,"Traveled to NY for my birthday and I loved this place. I went late in the evening, was seated right away. The staff was so attentive and took great care of me. The host recommended the scallops with bacon, it was so delicious! Order this, you will NOT regret it. I ordered the hand cut fries, and these were some of the best fries I ever had.  I also had the short rib, with polenta and spinach. This dish was also very delicious, they give you a huge helping that I could not finish. The staff sung happy birthday to me, making my night very special. I can't wait to come back to visit.",New York
ChIJ7cFMaqxZwokRiwwuIFN8pbA,Matthew Coqueran,5,"Took the company out for lunch today.  Got 2 orders of fried oysters, crab cake, grilled octopus, shrimp risotto, grilled salmon over spinach, steak frites, sides of mash, creamed spinach, grilled mushrooms & mac n cheese (yummy yum yum).  We got here at Noon because we wanted to beat the lunch crowds.  Food tasted fresh.... My faves were the Mac n cheese, crab cake and the creamed spinach... The cheese in there was so rich and delicious.  The wait staff was very helpful and attentive.  First class service and with the price.  We'll definitely be coming back here.  Enjoy!!!",New York
ChIJ7cFMaqxZwokRiwwuIFN8pbA,Kevin Lubinsky,5,"A hidden gem in Midtown. Honestly just spotted it while walking and decided to give it a try. So many places to get steak in NYC, and we hit the jackpot here. Had a Seafood Chateau for starters. Great sampling of oysters, shrimp, tuna tartar, etc. The Tomahawk was perfect. And as big as my head. You have to have the DK potatoes. Trust me. Just order them. I have to say I am surprised that it isn't busy here at all. Shame. Lots of people missing out. Got a reservation just before I got there, but not sure if it is needed all the time. Hopefully business is booming at other times.

The staff were all awesome. Everyone was responsive and engaged and extremely friendly. Kudos to everyone for the great work.",New York
ChIJ7cFMaqxZwokRiwwuIFN8pbA,Jennifer Meraglia,1,Came here on a date and the food was absolutely awful. Had to ask the server for a drink menu twice Felt like we were being judged and thrown in the back of the restaurant when it was completely empty. The pasta I got looked and tasted like dog food. The servers came up to us every 2 minutes asking if we were ready to order. Like let me relax. Now I understand why the lace was empty,New York
ChIJvWSDS_ZYwokRiG9D395loxo,Sitatham Puechkamut,5,"Capesante was my favorite dish; it was refreshing and well-balanced. Bombalani was uniquely delicious, sugar-coated donuts with pomegranate and chocolate sauce. The risotto was too salty and plain. Beautiful interior design with top service.",New York
ChIJvWSDS_ZYwokRiG9D395loxo,Denby Liu,4,"Went here for a birthday meal as Marea had been a place I'd heard about and kept meaning to visit.

Specializing in seafood we went heavy on the fishy side of things. Certainly the seafood we had for the first 2 courses were great tasting and had nothing to fault them on. The duck main dish we had was also lovely.

I was disappointed somewhat with the desserts though. I was hoping for similar quality as Lincoln Ristorante as I'd read that the head chef had moved over from that restaurant and always loved their desserts. Sadly, the tiramisu was a strange frozen concoction, not really sure what the pastry chef was trying to achieve there. The bomboloni (AKA donuts) was better and I probably would have been happy if I hadn't had a much better iteration at Casa Limone (and a better selection of other yummy desserts). Have it at that restaurant and you'll understand why the Marea version underwhelmed.

It was pretty heaving with people when we got there and the bar right next to the entrance certainly increased the hub bub. Which put me off as I prefer quieter restaurants, but unfortunately that wasn't to be as there were a lot of people there discussing business. Should have rung my alarm bells as one of the recommendations I had was from a sales person at work.

The decor is nice, but the tables felt cramped together for such a high end restaurant, the crowded bar didn't help with that feeling and that meant you could overhear a lot of conversations, especially the business meals. Don't know if it's always like that but it was definitely a turn off.

The other problem I had was that the dishes were just way over priced. The total bill was heading towards tasting course territory. And that was only with a few drinks, 2 of which were non-alcoholic. I suspect that was a consequence of it being a business meeting hangout and lots of expense accounts...

The ambiance killed the experience for me, loved most of the food, but once was quite enough for me!",New York
ChIJvWSDS_ZYwokRiG9D395loxo,Javier Kohen,5,All the food was amazing and the staff was very friendly. The flavors and the textures of every dish are composed masterfully. The dining room is airy and bright.,New York
ChIJvWSDS_ZYwokRiG9D395loxo,Mariya R,5,"Marea is a great place for a special occasion. The atmosphere is amazing, the staff is very polite and friendly. They always want to accommodate. The food is delicious. It’s usually very busy.",New York
ChIJvWSDS_ZYwokRiG9D395loxo,Bredgy L.,4,"Overall the food here is good, but not amazing, especially for the price and the michelin star.

Pólipo - one octopus tentacle cooked beautifully, soft and tender while having that slight snap, and came with a balsamic vinegar reduction and tonnato sauce, providing a balance of sweet, umami and sour. Also had some sort of bitter green, sweet red onions, and roasted potatoes for completeness.

Fusilli - a tubular and relatively firm pasta, with a well balanced tomato sauce that pairs nicely with the beautifully cooked and tender octopus inside, with some breadcrumbs on the top as well.

Spigola - Seared sea bass with a green lemon based puree along with some green beans and a fried celery stuffed with a sort of cheese inside.

Check out @bredgyeats for food pictures!",New York
ChIJZXs66hBawokRizEXnDJplPw,Juancy Rodríguez,4,"Excellent menu that changes seasonally, great tasting Austrian fare with a twist. We were there for an 8pm reservation for 3 on a Thursday evening. The place was bustling, so it took about 10+ minutes to get seated. The service staff was wonderful and even the chef was clearing out tables. The ambiance was great; A couple of blocks down from the 9/11 memorial and the Oculus, Schilling is housed in what seems like a carriage house of 1920s NYC, with interesting industrial touches and curious decor. There's outdoor enclosed plus sidewalk tables plus the street wall is actually a large glass garage door that was closed for the cold. Looking forward to returning when in FiDi.",New York
ChIJZXs66hBawokRizEXnDJplPw,Gui M.,4,"This is a fun little place in FiDi, a place not know for good restaurants. But this definitely is! I loved the tables with the lights coming from metal handles attached to the walls and the overall decor of the place. The food was delicious, especially the pork schnitzel, so thin and juicy and fried to perfection. Would definitely recommend.",New York
ChIJZXs66hBawokRizEXnDJplPw,Abdullah,5,Fun spot in FiDi with very good vibes. I showed up at 6 on a Thursday and was seated immediately. Our hostess (was also working the bar) was extremely nice and was very helpful with the menu. I had the pork schnitzel and it was good. The breading didn’t really stick too well but it was still good!,New York
ChIJZXs66hBawokRizEXnDJplPw,Kristen (Gypsy Monkey),5,"Restaurant week brought me in and I’m so incredibly thrilled to have found this spot ! Love the banquet style table set up . The burger was out of this world and cooked perfectly . Also had some of the best service I’ve had in ages . The waiter was fantastic and his back up helper was also very friendly and attentive . You feel like you are in an old country farmhouse . Except it’s clean ; ) I’d make a reservation because even during lunch it’s busy , once you go you’ll understand why !",New York
ChIJZXs66hBawokRizEXnDJplPw,Sergey Butenco,3,"I visited this resturant with a friend of mine who is a huge fan of Austurian cuisine. We came here to try both schnitzel and apple strudel. Additionally, we ordered trout rilettes after getting a recommendation from our waitress.

Unfortunately, this food was below my expectations. First, the trout rilettes were so salty that we could not finish. The schnitzel was not crispy enough. The only thing we liked was the desert.

However, the ambiance is pretty good. You can have a nice time with your friends. Another note for the resturant is that they should find a solution for the outside door. It keeps banging and is quite annoying for the people having food inside.",New York
ChIJQ1R3hKNZwokRQM4wbIrc00o,Chris Payne,5,"What an incredible find! We ate here on our last night in NYC and it was perfect.

It’s difficult to get a booking here,  especially if you’re just two people so we could only get the outside cabanas booking weeks before. I thought the cabanas would be cold but it was actually perfect, warm and really romantic.

We got the butchers feast and the food was out of this world. We were served by a nice lady from Sweden who took her time to explain the dishes and make recommendations.

An absolutely perfect experience from start to finish.",New York
ChIJQ1R3hKNZwokRQM4wbIrc00o,Richard Yu,5,"Best Korean bbq restaurant ever. By far. Service was impeccable. Dry-aged beef was beyond delicious. Vibe was eloquent and vibrant.

Of course this dining experience comes at a steep price. But Cote is unlike many gimmicky Michelin star rated modern Korean restaurant. Totally worth it and highly recommend for special occasions.",New York
ChIJQ1R3hKNZwokRQM4wbIrc00o,Kelly Zhong,5,"Celebrated my boyfriend’s birthday here and it was such a great experience! The staff was also very welcoming!

The korean bacon is definitely a must-try on their menu, super flavorful and paired with jalapeños and a side of special sauce.

We also got the butcher’s feast for two it came with four cuts of meat plus a bunch of sides which was so filling.

We loved the COTE experience and can’t wait to come back to try other dishes!",New York
ChIJQ1R3hKNZwokRQM4wbIrc00o,Diego Peguero,5,"Delightful evening. Fresh produce, fresh flavors, everything up to standard. Staff is amazing, cocktails are OUT of this world. Would recommend for an special evening with your loved ones. The service doesn't feel rushed either so take your time and eat peacefully. Some booths dont have back-rest and that come with the possibility of gazing your back with another guest which is extremely unpleasant. I would change that. Kudos to the chef, great experience",New York
ChIJQ1R3hKNZwokRQM4wbIrc00o,Chloe,5,"Cote was on my bucket list for a long time. And fortunately, I was able to make a last-minute reservation on a special day. Everything was immaculate. Food was outstanding and service was even better! I loved that the side dishes got complimentary refills. I am usually not a fan of super fancy restaurants because they tend to not focus on making the food great. Instead, they focus on a “fancy” experience and then slap a hefty price tag on mediocre food. But not Cote! This place absolutely deserves its Michelin star!",New York
ChIJR-58MPpYwokR6uvm2VX0MK4,Jessica L. Rollén,5,"The food was good and the staff was superb. The dining room is also beautiful. We went for a weekday lunch and it was very much a business crowd. The vibe is borderline stuffy, but the staff was so kind that their warmth offset that.",New York
ChIJR-58MPpYwokR6uvm2VX0MK4,Dae M,5,Michael's is the perfect fine dining experience. I came here for my mother's 40th birthday and I really want to thank the staff for making it memorable. A complimentary birthday cake was given to us and the staff sang her happy birthday. The setting is luxurious and the wait staff have everything down to absolute perfection. The margarita pie was warm and cheesy and the fish was well seasoned and presented. I want to thank the manager Basdeo for making our night so special.,New York
ChIJR-58MPpYwokR6uvm2VX0MK4,Sree Sreenivasan,5,"Classic NY power breakfast! Went on Juneteenth holiday, so it was easy to get into and to enjoy. First class food and service at business class prices.",New York
ChIJR-58MPpYwokR6uvm2VX0MK4,Rainer,2,"No. For the true New Yorkers, this place is a No. From the sidewalk the space looks nice but as soon as you get seated and settle in you realize it's very stale. If you sit along the east wall you will easily notice the dirty air vents close to the top of the ceiling followed by a not so pretty ceiling. The room is dated, the Christmas garland along the ceiling looked sad, like it's been the same weak rope garland used since 2008 or something. Everyone wrote the service is amazing but I didn't get that at all. It was just myself and my wife. After they took our order, for a good 7 or so minutes we just sat there with water and finally noticed others had bread. We had been sitting for a while with just drinks and no one offered us bread. We had to ask for bread from another waiter and it still took a few long minutes to finally get bread. The crab cake was the size of a small burger patty and the pomegranate salad had huge leaves that were awkward to cut and eat. The raviolis were weak and not creamy, more oily. The bowl for the brussel sprouts was too small for the foods and wasn't the easiest to eat out of bc we didn't want to tip it over. I don't understand all the positive reviews on the food and service. The service seemed less engaged and mostly robotic. The food seemed  basic compared to the prices. They'd forget to bring back another drink so my wife was stuck with water for most of the meal until we reminded them. We vibe was just off. Honestly it mostly tourists around the room. We didn't need to try the dessert. This was a miss for us. Again the room is just stale. Not cute, not styled, no one cares enough type of feeling. I don't write reviews but this one just had to be done",New York
ChIJR-58MPpYwokR6uvm2VX0MK4,Pd,5,"I had the perfect dinner here for Valentine’s Day! Great food, atmosphere and staff all around. Appetizers to dessert was all delicious. I am not even a fan of Kale but even their Kale Caesar Salad was so tasty; I finished it.
I definitely recommend this place.",New York
ChIJR9So-lRYwokRX1xEjA0rChA,Joa J,5,"It was around noon, the restaurant was very busy on top of the Christmas season and a big crowd waiting. My daughter and I wanted to have lunch, and the host accommodated us on the second floor. We didn't have any reservations, so we were super happy to get a table. All the staff was very attentive and polite. We ordered a seafood pasta dish that was incredible! The plates are delicious and big. Two or three people can eat with one order. We definitely recommend this place and do yourself a favor and make a reservation in advance to enjoy your meal here!",New York
ChIJR9So-lRYwokRX1xEjA0rChA,Laire Avila,5,"This is a family style restaurant. Make sure to not go alone. Grab your family or group of friends and go. Plates are big and shareable. Food is amazing. We had the penne a la vodka and it was delicious and as appetizer the fried zucchini, it was excellent. Make sure to make reservations ahead. It gets busy.",New York
ChIJR9So-lRYwokRX1xEjA0rChA,Akeem Akeem,5,"Step into the bustling world of this New York gem! The restaurant was buzzing with life, a lively dance of guests in and out, yet the staff embraced us with warmth and speedy service, even with our fashionably late entrance. Now, let's talk about the real star – the food! Brace yourself for an adventure of flavors, as this place crafts culinary wonders that'll make your taste buds do a happy dance. And oh, the drinks? Absolute perfection!

For the dynamic duos out there, a friendly heads-up: the portion sizes are epic! Consider ordering for one and revel in a shared feast or gather your squad for a gastronomic journey. The ambiance inside is like a warm, cozy hug, but if you dare to brave the chilly outdoors, fear not – they've got mini warmth wizards (aka lamps) at every table. Trust me, the freeze is worth the flavor explosion!

In a nutshell, this spot is not just a restaurant; it's a joyous celebration of food, friends, and fantastic vibes. Your taste buds will thank you, and your heart will leave full. Cheers to making memories in the heart of the Big Apple! 🌟",New York
